source_model,target_model,source_training,target_training,attack,epsilon,seed,evaluated_samples,jointly_clean_correct_samples,robust_accuracy,attack_success_rate,conditional_transfer_success_rate,runtime_seconds,device
smallcnn_fgsm_at,lenet_standard,fgsm_at,standard,FGSM,0.25,42,10000,9801,0.9229,0.07709999999999995,0.060299969390878484,13.260363500070525,cpu
smallcnn_fgsm_at,smallcnn_standard,fgsm_at,standard,FGSM,0.25,42,10000,9873,0.639,0.361,0.3542996049832878,24.8477741000097,cpu
smallcnn_fgsm_at,lenet_fgsm_at,fgsm_at,fgsm_at,FGSM,0.25,42,10000,9688,0.689,0.31100000000000005,0.29221717588769613,13.269088800014288,cpu
smallcnn_fgsm_at,smallcnn_fgsm_at,fgsm_at,fgsm_at,FGSM,0.25,42,10000,9920,0.9616,0.03839999999999999,0.030846774193548386,25.005525499989744,cpu
lenet_standard,lenet_standard,standard,standard,FGSM,0.3,42,10000,9824,0.0068,0.9932,0.9930781758957655,2.33483469998464,cpu
lenet_standard,smallcnn_standard,standard,standard,FGSM,0.3,42,10000,9797,0.4639,0.5361,0.5293457180769623,13.721510700030194,cpu
lenet_standard,lenet_fgsm_at,standard,fgsm_at,FGSM,0.3,42,10000,9638,0.5918,0.4082,0.3904336999377464,2.32812900000863,cpu
lenet_standard,smallcnn_fgsm_at,standard,fgsm_at,FGSM,0.3,42,10000,9801,0.3557,0.6443,0.638914396490154,13.796997800011013,cpu
smallcnn_standard,lenet_standard,standard,standard,FGSM,0.3,42,10000,9797,0.7023,0.29769999999999996,0.28386240685924263,13.506197599985171,cpu
smallcnn_standard,smallcnn_standard,standard,standard,FGSM,0.3,42,10000,9924,0.1726,0.8274,0.8260781942765014,25.475846800007275,cpu
smallcnn_standard,lenet_fgsm_at,standard,fgsm_at,FGSM,0.3,42,10000,9690,0.5237,0.47629999999999995,0.46212590299277606,13.486567800006014,cpu
smallcnn_standard,smallcnn_fgsm_at,standard,fgsm_at,FGSM,0.3,42,10000,9873,0.2869,0.7131000000000001,0.7096120733313076,25.34903379999014,cpu
lenet_fgsm_at,lenet_standard,fgsm_at,standard,FGSM,0.3,42,10000,9638,0.2889,0.7111000000000001,0.7004565262502593,2.3077907000406412,cpu
lenet_fgsm_at,smallcnn_standard,fgsm_at,standard,FGSM,0.3,42,10000,9690,0.3162,0.6838,0.6795665634674922,13.472734800030594,cpu
lenet_fgsm_at,lenet_fgsm_at,fgsm_at,fgsm_at,FGSM,0.3,42,10000,9725,0.8684,0.13160000000000005,0.11825192802056556,2.3120270000290475,cpu
