source_model,target_model,source_training,target_training,attack,epsilon,robust_accuracy_mean,robust_accuracy_std,attack_success_rate_mean,attack_success_rate_std,conditional_transfer_success_rate_mean,conditional_transfer_success_rate_std
lenet_standard,smallcnn_standard,standard,standard,FGSM,0.3,0.4694,0.02924055403031892,0.5306000000000001,0.029240554030318895,0.523347803961452,0.030238073111261747
smallcnn_fgsm_at,lenet_fgsm_at,fgsm_at,fgsm_at,FGSM,0.0,0.9751666666666666,0.003629508690350938,0.024833333333333266,0.003629508690350929,0.0,0.0
smallcnn_fgsm_at,lenet_fgsm_at,fgsm_at,fgsm_at,FGSM,0.05,0.8471000000000001,0.21894129350124886,0.1528999999999999,0.21894129350124886,0.1330727108776112,0.22337148972162946
smallcnn_fgsm_at,lenet_fgsm_at,fgsm_at,fgsm_at,FGSM,0.1,0.8496666666666667,0.20418374894524133,0.1503333333333333,0.20418374894524133,0.13153491669904052,0.20727851820797946
smallcnn_fgsm_at,lenet_fgsm_at,fgsm_at,fgsm_at,FGSM,0.15,0.8520666666666666,0.18218546411098038,0.14793333333333328,0.18218546411098038,0.12947696163602862,0.18389313569997245
smallcnn_fgsm_at,lenet_fgsm_at,fgsm_at,fgsm_at,FGSM,0.2,0.8511000000000001,0.15974019531727135,0.14889999999999995,0.15974019531727138,0.1298220825223268,0.16122109310555716
smallcnn_fgsm_at,lenet_fgsm_at,fgsm_at,fgsm_at,FGSM,0.25,0.8548,0.14383250675699152,0.1451999999999999,0.14383250675699155,0.1250145090986662,0.14505400534527102
smallcnn_fgsm_at,lenet_fgsm_at,fgsm_at,fgsm_at,FGSM,0.3,0.8539,0.1331114946201116,0.14609999999999998,0.13311149462011154,0.1252855827224422,0.13428775121460965
smallcnn_fgsm_at,lenet_standard,fgsm_at,standard,FGSM,0.0,0.9834666666666667,0.000945163125250444,0.016533333333333265,0.000945163125250483,0.0,0.0
smallcnn_fgsm_at,lenet_standard,fgsm_at,standard,FGSM,0.05,0.9803999999999999,0.00045825756949557597,0.0196,0.0004582575694955839,0.003128366946986167,0.0006790297329568708
smallcnn_fgsm_at,lenet_standard,fgsm_at,standard,FGSM,0.1,0.9733666666666667,0.0008082903768654385,0.02663333333333327,0.0008082903768654308,0.009929197103615034,0.000790967406416911
smallcnn_fgsm_at,lenet_standard,fgsm_at,standard,FGSM,0.15,0.9618000000000001,0.0022912878474778795,0.038199999999999935,0.0022912878474778764,0.02118456398692033,0.002272732408217417
smallcnn_fgsm_at,lenet_standard,fgsm_at,standard,FGSM,0.2,0.9441333333333333,0.007049349851818492,0.0558666666666666,0.007049349851818479,0.03900260684043097,0.007100084813768604
smallcnn_fgsm_at,lenet_standard,fgsm_at,standard,FGSM,0.25,0.9183,0.016100621106031925,0.08169999999999997,0.01610062110603191,0.06481137667385382,0.016233429535734305
smallcnn_fgsm_at,lenet_standard,fgsm_at,standard,FGSM,0.3,0.8754333333333334,0.03157757643223011,0.12456666666666665,0.03157757643223011,0.10840396762135411,0.032201265514719045
smallcnn_fgsm_at,smallcnn_fgsm_at,fgsm_at,fgsm_at,FGSM,0.0,0.9919333333333333,0.0003055050463303557,0.008066666666666633,0.00030550504633033526,0.0,0.0
smallcnn_fgsm_at,smallcnn_fgsm_at,fgsm_at,fgsm_at,FGSM,0.05,0.9847,0.003553871128783365,0.015299999999999933,0.0035538711287833413,0.007561541401413433,0.003127756093192386
smallcnn_fgsm_at,smallcnn_fgsm_at,fgsm_at,fgsm_at,FGSM,0.1,0.9814333333333334,0.007878028518184838,0.0185666666666666,0.007878028518184766,0.0114267306965993,0.00629934782765356
smallcnn_fgsm_at,smallcnn_fgsm_at,fgsm_at,fgsm_at,FGSM,0.15,0.9791666666666666,0.011750035460939385,0.0208333333333333,0.011750035460939454,0.014216325877697666,0.009474509294752314
smallcnn_fgsm_at,smallcnn_fgsm_at,fgsm_at,fgsm_at,FGSM,0.2,0.9765,0.01544765354349972,0.023499999999999934,0.015447653543499756,0.01737582941300773,0.012642594542389297
smallcnn_fgsm_at,smallcnn_fgsm_at,fgsm_at,fgsm_at,FGSM,0.25,0.9664666666666667,0.02318627467562076,0.033533333333333235,0.023186274675620778,0.0272236587551308,0.021111202598702403
smallcnn_fgsm_at,smallcnn_fgsm_at,fgsm_at,fgsm_at,FGSM,0.3,0.8306,0.17721876311497042,0.16939999999999997,0.17721876311497045,0.16395693684581947,0.17853032232243926
smallcnn_fgsm_at,smallcnn_standard,fgsm_at,standard,FGSM,0.0,0.9925333333333333,0.0010066445913694529,0.007466666666666601,0.0010066445913694405,0.0,0.0
smallcnn_fgsm_at,smallcnn_standard,fgsm_at,standard,FGSM,0.05,0.9888333333333333,0.0009073771725877507,0.0111666666666666,0.0009073771725877265,0.0030364396411925666,0.0009645250638308293
smallcnn_fgsm_at,smallcnn_standard,fgsm_at,standard,FGSM,0.1,0.9815999999999999,0.004267317658670388,0.0183999999999999,0.004267317658670374,0.009752212209405767,0.00419633542242572
smallcnn_fgsm_at,smallcnn_standard,fgsm_at,standard,FGSM,0.15,0.965,0.01282068640908123,0.034999999999999934,0.012820686409081197,0.026018054404679164,0.01297363791163328
smallcnn_fgsm_at,smallcnn_standard,fgsm_at,standard,FGSM,0.2,0.9095999999999999,0.04962388537791052,0.0904,0.04962388537791051,0.08133388053146047,0.04984238605057411
smallcnn_fgsm_at,smallcnn_standard,fgsm_at,standard,FGSM,0.25,0.7626,0.10747934685324424,0.23739999999999997,0.1074793468532443,0.22978975850443492,0.10818756273954953
smallcnn_fgsm_at,smallcnn_standard,fgsm_at,standard,FGSM,0.3,0.5181666666666667,0.11031746612995301,0.4818333333333333,0.11031746612995301,0.47684931354928856,0.11163050391510701
smallcnn_standard,lenet_fgsm_at,standard,fgsm_at,FGSM,0.0,0.9751666666666666,0.003629508690350938,0.024833333333333266,0.003629508690350929,0.0,0.0
smallcnn_standard,lenet_fgsm_at,standard,fgsm_at,FGSM,0.05,0.8476,0.21625533519430223,0.15239999999999995,0.21625533519430226,0.13231913645686147,0.22037899289532692
smallcnn_standard,lenet_fgsm_at,standard,fgsm_at,FGSM,0.1,0.8433666666666667,0.2111235262431293,0.15663333333333332,0.21112352624312936,0.13779817271195827,0.21440170376357745
smallcnn_standard,lenet_fgsm_at,standard,fgsm_at,FGSM,0.15,0.8358333333333334,0.1971947599033335,0.1641666666666666,0.19719475990333346,0.14546900976412955,0.19978926355651472
